07:36:47:324 [ 'ORDEN ID', 226 ]
07:36:47:394 [ 'ORDEN ID', 226 ]
07:36:47:395 [ 'ORDEN ID', 226 ]
07:36:47:395 [ 'ORDEN ID', 226 ]
07:36:47:396 [ 'ORDEN ID', 227 ]
07:36:47:397 [ 'ORDEN ID', 227 ]
07:36:47:397 [ 'ORDEN ID', 227 ]
07:36:47:398 [ 'ORDEN ID', 228 ]
07:36:47:399 [ 'ORDEN ID', 228 ]
07:36:47:400 [ 'ORDEN ID', 228 ]
07:36:47:401 [ 'ORDEN ID', 226 ]
07:36:47:402 [ 'ORDEN ID', 226 ]
07:36:47:403 [ 'ORDEN ID', 226 ]
07:36:47:404 [ 'ORDEN ID', 227 ]
07:36:47:405 [ 'ORDEN ID', 227 ]
07:36:47:406 [ 'ORDEN ID', 227 ]
07:36:47:407 [ 'ORDEN ID', 228 ]
07:36:47:408 [ 'ORDEN ID', 228 ]
07:36:47:409 [ 'ORDEN ID', 228 ]
07:36:47:410 [ 'ORDEN ID', 226 ]
07:36:47:411 [ 'ORDEN ID', 226 ]
07:36:47:411 [ 'ORDEN ID', 226 ]
07:36:47:412 [ 'ORDEN ID', 227 ]
07:36:47:412 [ 'ORDEN ID', 227 ]
07:36:47:413 [ 'ORDEN ID', 227 ]
07:36:47:414 [ 'ORDEN ID', 228 ]
07:36:47:414 [ 'ORDEN ID', 228 ]
07:36:47:415 [ 'ORDEN ID', 228 ]
07:36:47:416 [ 'ORDEN ID', 226 ]
07:36:47:417 [ 'ORDEN ID', 226 ]
07:36:47:418 [ 'ORDEN ID', 226 ]
07:36:47:419 [ 'ORDEN ID', 227 ]
07:36:47:419 [ 'ORDEN ID', 227 ]
07:36:47:420 [ 'ORDEN ID', 227 ]
07:36:47:420 [ 'ORDEN ID', 228 ]
07:36:47:421 [ 'ORDEN ID', 228 ]
07:36:47:422 [ 'ORDEN ID', 228 ]
07:36:47:423 [ 'ORDEN ID', 226 ]
07:36:47:424 [ 'ORDEN ID', 226 ]
07:36:47:425 [ 'ORDEN ID', 226 ]
07:36:47:426 [ 'ORDEN ID', 227 ]
07:36:47:426 [ 'ORDEN ID', 227 ]
07:36:47:427 [ 'ORDEN ID', 227 ]
07:36:47:429 [ 'ORDEN ID', 228 ]
07:36:47:429 [ 'ORDEN ID', 228 ]
07:36:47:430 [ 'ORDEN ID', 228 ]
07:36:47:432 [ 'ORDEN ID', 226 ]
07:36:47:432 [ 'ORDEN ID', 226 ]
07:36:47:433 [ 'ORDEN ID', 226 ]
07:36:47:434 [ 'ORDEN ID', 227 ]
07:36:47:435 [ 'ORDEN ID', 227 ]
07:36:47:435 [ 'ORDEN ID', 227 ]
07:36:47:436 [ 'ORDEN ID', 228 ]
07:36:47:437 [ 'ORDEN ID', 228 ]
07:36:47:437 [ 'ORDEN ID', 228 ]
07:36:47:438 [ 'ORDEN ID', 226 ]
07:36:47:439 [ 'ORDEN ID', 226 ]
07:36:47:439 [ 'ORDEN ID', 226 ]
07:36:47:440 [ 'ORDEN ID', 227 ]
07:36:47:441 [ 'ORDEN ID', 227 ]
07:36:47:442 [ 'ORDEN ID', 227 ]
07:36:47:442 [ 'ORDEN ID', 228 ]
07:36:47:443 [ 'ORDEN ID', 228 ]
07:36:47:444 [ 'ORDEN ID', 228 ]
07:36:47:445 [ 'ORDEN ID', 226 ]
07:36:47:446 [ 'ORDEN ID', 226 ]
07:36:47:446 [ 'ORDEN ID', 226 ]
07:36:47:447 [ 'ORDEN ID', 227 ]
07:36:47:448 [ 'ORDEN ID', 227 ]
07:36:47:449 [ 'ORDEN ID', 227 ]
07:36:47:450 [ 'ORDEN ID', 228 ]
07:36:47:451 [ 'ORDEN ID', 228 ]
07:36:47:452 [ 'ORDEN ID', 228 ]
07:36:47:453 [ 'ORDEN ID', 226 ]
07:36:47:454 [ 'ORDEN ID', 226 ]
07:36:47:454 [ 'ORDEN ID', 226 ]
07:36:47:455 [ 'ORDEN ID', 227 ]
07:36:47:456 [ 'ORDEN ID', 227 ]
07:36:47:456 [ 'ORDEN ID', 227 ]
07:36:47:457 [ 'ORDEN ID', 228 ]
07:36:47:458 [ 'ORDEN ID', 228 ]
07:36:47:459 [ 'ORDEN ID', 228 ]
07:36:47:460 [ 'ORDEN ID', 226 ]
07:36:47:461 [ 'ORDEN ID', 226 ]
07:36:47:461 [ 'ORDEN ID', 226 ]
07:36:47:462 [ 'ORDEN ID', 227 ]
07:36:47:463 [ 'ORDEN ID', 227 ]
07:36:47:464 [ 'ORDEN ID', 227 ]
07:36:47:464 [ 'ORDEN ID', 228 ]
07:36:47:465 [ 'ORDEN ID', 228 ]
07:36:47:466 [ 'ORDEN ID', 228 ]
07:36:47:467 [ 'ORDEN ID', 226 ]
07:36:47:469 [ 'ORDEN ID', 226 ]
07:36:47:470 [ 'ORDEN ID', 226 ]
07:36:47:471 [ 'ORDEN ID', 227 ]
07:36:47:472 [ 'ORDEN ID', 227 ]
07:36:47:473 [ 'ORDEN ID', 227 ]
07:36:47:474 [ 'ORDEN ID', 228 ]
07:36:47:475 [ 'ORDEN ID', 228 ]
07:36:47:475 [ 'ORDEN ID', 228 ]
07:36:47:476 [ 'ORDEN ID', 226 ]
07:36:47:477 [ 'ORDEN ID', 226 ]
07:36:47:478 [ 'ORDEN ID', 226 ]
07:36:47:479 [ 'ORDEN ID', 227 ]
07:36:47:479 [ 'ORDEN ID', 227 ]
07:36:47:480 [ 'ORDEN ID', 227 ]
07:36:47:480 [ 'ORDEN ID', 228 ]
07:36:47:481 [ 'ORDEN ID', 228 ]
07:36:47:482 [ 'ORDEN ID', 228 ]
07:36:47:483 [ 'ORDEN ID', 226 ]
07:36:47:484 [ 'ORDEN ID', 226 ]
07:36:47:485 [ 'ORDEN ID', 226 ]
07:36:47:485 [ 'ORDEN ID', 227 ]
07:36:47:486 [ 'ORDEN ID', 227 ]
07:36:47:486 [ 'ORDEN ID', 227 ]
07:36:47:487 [ 'ORDEN ID', 228 ]
07:36:47:488 [ 'ORDEN ID', 228 ]
07:36:47:488 [ 'ORDEN ID', 228 ]
07:36:47:489 [ 'ORDEN ID', 226 ]
07:36:47:490 [ 'ORDEN ID', 226 ]
07:36:47:491 [ 'ORDEN ID', 226 ]
07:36:47:491 [ 'ORDEN ID', 227 ]
07:36:47:492 [ 'ORDEN ID', 227 ]
07:36:47:493 [ 'ORDEN ID', 227 ]
07:36:47:493 [ 'ORDEN ID', 228 ]
07:36:47:494 [ 'ORDEN ID', 228 ]
07:36:47:495 [ 'ORDEN ID', 228 ]
07:36:47:496 [ 'ORDEN ID', 226 ]
07:36:47:496 [ 'ORDEN ID', 226 ]
07:36:47:497 [ 'ORDEN ID', 226 ]
07:36:47:499 [ 'ORDEN ID', 227 ]
07:36:47:500 [ 'ORDEN ID', 227 ]
07:36:47:501 [ 'ORDEN ID', 227 ]
07:36:47:502 [ 'ORDEN ID', 228 ]
07:36:47:502 [ 'ORDEN ID', 228 ]
07:36:47:503 [ 'ORDEN ID', 228 ]
07:36:47:504 [ 'ORDEN ID', 226 ]
07:36:47:505 [ 'ORDEN ID', 226 ]
07:36:47:505 [ 'ORDEN ID', 226 ]
07:36:47:506 [ 'ORDEN ID', 227 ]
07:36:47:507 [ 'ORDEN ID', 227 ]
07:36:47:507 [ 'ORDEN ID', 227 ]
07:36:47:508 [ 'ORDEN ID', 228 ]
07:36:47:509 [ 'ORDEN ID', 228 ]
07:36:47:510 [ 'ORDEN ID', 228 ]
07:36:47:511 [ 'ORDEN ID', 226 ]
07:36:47:512 [ 'ORDEN ID', 226 ]
07:36:47:512 [ 'ORDEN ID', 226 ]
07:36:47:513 [ 'ORDEN ID', 227 ]
07:36:47:514 [ 'ORDEN ID', 227 ]
07:36:47:515 [ 'ORDEN ID', 227 ]
07:36:47:516 [ 'ORDEN ID', 228 ]
07:36:47:517 [ 'ORDEN ID', 228 ]
07:36:47:517 [ 'ORDEN ID', 228 ]
07:36:47:519 [ 'ORDEN ID', 226 ]
07:36:47:520 [ 'ORDEN ID', 226 ]
07:36:47:520 [ 'ORDEN ID', 226 ]
07:36:47:521 [ 'ORDEN ID', 227 ]
07:36:47:522 [ 'ORDEN ID', 227 ]
07:36:47:522 [ 'ORDEN ID', 227 ]
07:36:47:523 [ 'ORDEN ID', 228 ]
07:36:47:524 [ 'ORDEN ID', 228 ]
07:36:47:524 [ 'ORDEN ID', 228 ]
07:36:47:526 [ 'ORDEN ID', 226 ]
07:36:47:526 [ 'ORDEN ID', 226 ]
07:36:47:527 [ 'ORDEN ID', 226 ]
07:36:47:528 [ 'ORDEN ID', 227 ]
07:36:47:529 [ 'ORDEN ID', 227 ]
07:36:47:529 [ 'ORDEN ID', 227 ]
07:36:47:530 [ 'ORDEN ID', 228 ]
07:36:47:531 [ 'ORDEN ID', 228 ]
07:36:47:532 [ 'ORDEN ID', 228 ]
07:36:47:533 [ 'ORDEN ID', 226 ]
07:36:47:534 [ 'ORDEN ID', 226 ]
07:36:47:535 [ 'ORDEN ID', 226 ]
07:36:47:536 [ 'ORDEN ID', 227 ]
07:36:47:536 [ 'ORDEN ID', 227 ]
07:36:47:537 [ 'ORDEN ID', 227 ]
07:36:47:538 [ 'ORDEN ID', 228 ]
07:36:47:539 [ 'ORDEN ID', 228 ]
07:36:47:539 [ 'ORDEN ID', 228 ]
07:36:47:540 [ 'ORDEN ID', 226 ]
07:36:47:541 [ 'ORDEN ID', 226 ]
07:36:47:542 [ 'ORDEN ID', 226 ]
07:36:47:543 [ 'ORDEN ID', 227 ]
07:36:47:543 [ 'ORDEN ID', 227 ]
07:36:47:544 [ 'ORDEN ID', 227 ]
07:36:47:545 [ 'ORDEN ID', 228 ]
07:36:47:546 [ 'ORDEN ID', 228 ]
07:36:47:546 [ 'ORDEN ID', 228 ]
07:36:47:548 [ 'ORDEN ID', 226 ]
07:36:47:550 [ 'ORDEN ID', 226 ]
07:36:47:551 [ 'ORDEN ID', 226 ]
07:36:47:552 [ 'ORDEN ID', 227 ]
07:36:47:553 [ 'ORDEN ID', 227 ]
07:36:47:554 [ 'ORDEN ID', 227 ]
07:36:47:555 [ 'ORDEN ID', 228 ]
07:36:47:556 [ 'ORDEN ID', 228 ]
07:36:47:556 [ 'ORDEN ID', 228 ]
07:36:47:557 [ 'ORDEN ID', 226 ]
07:36:47:558 [ 'ORDEN ID', 226 ]
07:36:47:559 [ 'ORDEN ID', 226 ]
07:36:47:560 [ 'ORDEN ID', 227 ]
07:36:47:560 [ 'ORDEN ID', 227 ]
07:36:47:561 [ 'ORDEN ID', 227 ]
07:36:47:562 [ 'ORDEN ID', 228 ]
07:36:47:563 [ 'ORDEN ID', 228 ]
07:36:47:563 [ 'ORDEN ID', 228 ]
07:36:47:564 [ 'ORDEN ID', 226 ]
07:36:47:564 [ 'ORDEN ID', 226 ]
07:36:47:565 [ 'ORDEN ID', 226 ]
07:36:47:566 [ 'ORDEN ID', 227 ]
07:36:47:567 [ 'ORDEN ID', 227 ]
07:36:47:568 [ 'ORDEN ID', 227 ]
07:36:47:569 [ 'ORDEN ID', 228 ]
07:36:47:569 [ 'ORDEN ID', 228 ]
07:36:47:570 [ 'ORDEN ID', 228 ]
07:36:47:571 [ 'ORDEN ID', 226 ]
07:36:47:572 [ 'ORDEN ID', 226 ]
07:36:47:573 [ 'ORDEN ID', 226 ]
07:36:47:574 [ 'ORDEN ID', 227 ]
07:36:47:574 [ 'ORDEN ID', 227 ]
07:36:47:575 [ 'ORDEN ID', 227 ]
07:36:47:576 [ 'ORDEN ID', 228 ]
07:36:47:577 [ 'ORDEN ID', 228 ]
07:36:47:577 [ 'ORDEN ID', 228 ]
07:36:47:579 [ 'ORDEN ID', 226 ]
07:36:47:579 [ 'ORDEN ID', 226 ]
07:36:47:580 [ 'ORDEN ID', 226 ]
07:36:47:581 [ 'ORDEN ID', 227 ]
07:36:47:581 [ 'ORDEN ID', 227 ]
07:36:47:582 [ 'ORDEN ID', 227 ]
07:36:47:583 [ 'ORDEN ID', 228 ]
07:36:47:584 [ 'ORDEN ID', 228 ]
07:36:47:585 [ 'ORDEN ID', 228 ]
07:36:47:586 [ 'ORDEN ID', 226 ]
07:36:47:587 [ 'ORDEN ID', 226 ]
07:36:47:588 [ 'ORDEN ID', 226 ]
07:36:47:588 [ 'ORDEN ID', 227 ]
07:36:47:589 [ 'ORDEN ID', 227 ]
07:36:47:590 [ 'ORDEN ID', 227 ]
07:36:47:591 [ 'ORDEN ID', 228 ]
07:36:47:591 [ 'ORDEN ID', 228 ]
07:36:47:592 [ 'ORDEN ID', 228 ]
07:36:47:593 [ 'ORDEN ID', 226 ]
07:36:47:594 [ 'ORDEN ID', 226 ]
07:36:47:594 [ 'ORDEN ID', 226 ]
07:36:47:595 [ 'ORDEN ID', 227 ]
07:36:47:596 [ 'ORDEN ID', 227 ]
07:36:47:596 [ 'ORDEN ID', 227 ]
07:36:47:597 [ 'ORDEN ID', 228 ]
07:36:47:598 [ 'ORDEN ID', 228 ]
07:36:47:598 [ 'ORDEN ID', 228 ]
07:36:47:600 [ 'ORDEN ID', 226 ]
07:36:47:601 [ 'ORDEN ID', 226 ]
07:36:47:602 [ 'ORDEN ID', 226 ]
07:36:47:603 [ 'ORDEN ID', 227 ]
07:36:47:604 [ 'ORDEN ID', 227 ]
07:36:47:604 [ 'ORDEN ID', 227 ]
07:36:47:605 [ 'ORDEN ID', 228 ]
07:36:47:606 [ 'ORDEN ID', 228 ]
07:36:47:607 [ 'ORDEN ID', 228 ]
07:36:47:608 [ 'ORDEN ID', 226 ]
07:36:47:609 [ 'ORDEN ID', 226 ]
07:36:47:610 [ 'ORDEN ID', 226 ]
07:36:47:611 [ 'ORDEN ID', 227 ]
07:36:47:611 [ 'ORDEN ID', 227 ]
07:36:47:612 [ 'ORDEN ID', 227 ]
07:36:47:613 [ 'ORDEN ID', 228 ]
07:36:47:613 [ 'ORDEN ID', 228 ]
07:36:47:614 [ 'ORDEN ID', 228 ]
07:36:47:615 [ 'ORDEN ID', 226 ]
07:36:47:616 [ 'ORDEN ID', 226 ]
07:36:47:618 [ 'ORDEN ID', 226 ]
07:36:47:619 [ 'ORDEN ID', 227 ]
07:36:47:619 [ 'ORDEN ID', 227 ]
07:36:47:620 [ 'ORDEN ID', 227 ]
07:36:47:621 [ 'ORDEN ID', 228 ]
07:36:47:621 [ 'ORDEN ID', 228 ]
07:36:47:622 [ 'ORDEN ID', 228 ]
07:36:47:623 [ 'ORDEN ID', 226 ]
07:36:47:624 [ 'ORDEN ID', 226 ]
07:36:47:625 [ 'ORDEN ID', 226 ]
07:36:47:625 [ 'ORDEN ID', 227 ]
07:36:47:626 [ 'ORDEN ID', 227 ]
07:36:47:627 [ 'ORDEN ID', 227 ]
07:36:47:628 [ 'ORDEN ID', 228 ]
07:36:47:628 [ 'ORDEN ID', 228 ]
07:36:47:629 [ 'ORDEN ID', 228 ]
07:36:47:630 [ 'ORDEN ID', 226 ]
07:36:47:631 [ 'ORDEN ID', 226 ]
07:36:47:632 [ 'ORDEN ID', 226 ]
07:36:47:633 [ 'ORDEN ID', 227 ]
07:36:47:634 [ 'ORDEN ID', 227 ]
07:36:47:635 [ 'ORDEN ID', 227 ]
07:36:47:635 [ 'ORDEN ID', 228 ]
07:36:47:636 [ 'ORDEN ID', 228 ]
07:36:47:637 [ 'ORDEN ID', 228 ]
07:36:47:637 [ 'ORDEN ID', 226 ]
07:36:47:638 [ 'ORDEN ID', 226 ]
07:36:47:638 [ 'ORDEN ID', 226 ]
07:36:47:639 [ 'ORDEN ID', 227 ]
07:36:47:640 [ 'ORDEN ID', 227 ]
07:36:47:641 [ 'ORDEN ID', 227 ]
07:36:47:641 [ 'ORDEN ID', 228 ]
07:36:47:642 [ 'ORDEN ID', 228 ]
07:36:47:643 [ 'ORDEN ID', 228 ]
07:36:47:644 [ 'ORDEN ID', 226 ]
07:36:47:645 [ 'ORDEN ID', 226 ]
07:36:47:645 [ 'ORDEN ID', 226 ]
07:36:47:646 [ 'ORDEN ID', 227 ]
07:36:47:647 [ 'ORDEN ID', 227 ]
07:36:47:648 [ 'ORDEN ID', 227 ]
07:36:47:649 [ 'ORDEN ID', 228 ]
07:36:47:649 [ 'ORDEN ID', 228 ]
07:36:47:650 [ 'ORDEN ID', 228 ]
07:36:47:652 [ 'ORDEN ID', 226 ]
07:36:47:652 [ 'ORDEN ID', 226 ]
07:36:47:653 [ 'ORDEN ID', 226 ]
07:36:47:654 [ 'ORDEN ID', 227 ]
07:36:47:654 [ 'ORDEN ID', 227 ]
07:36:47:655 [ 'ORDEN ID', 227 ]
07:36:47:656 [ 'ORDEN ID', 228 ]
07:36:47:657 [ 'ORDEN ID', 228 ]
07:36:47:657 [ 'ORDEN ID', 228 ]
07:36:47:659 [ 'ORDEN ID', 226 ]
07:36:47:660 [ 'ORDEN ID', 226 ]
07:36:47:661 [ 'ORDEN ID', 226 ]
07:36:47:661 [ 'ORDEN ID', 227 ]
07:36:47:662 [ 'ORDEN ID', 227 ]
07:36:47:663 [ 'ORDEN ID', 227 ]
07:36:47:664 [ 'ORDEN ID', 228 ]
07:36:47:664 [ 'ORDEN ID', 228 ]
07:36:47:665 [ 'ORDEN ID', 228 ]
07:36:47:667 [ 'ORDEN ID', 226 ]
07:36:47:668 [ 'ORDEN ID', 226 ]
07:36:47:669 [ 'ORDEN ID', 226 ]
07:36:47:669 [ 'ORDEN ID', 227 ]
07:36:47:670 [ 'ORDEN ID', 227 ]
07:36:47:671 [ 'ORDEN ID', 227 ]
07:36:47:672 [ 'ORDEN ID', 228 ]
07:36:47:672 [ 'ORDEN ID', 228 ]
07:36:47:673 [ 'ORDEN ID', 228 ]
07:36:47:674 [ 'ORDEN ID', 226 ]
07:36:47:675 [ 'ORDEN ID', 226 ]
07:36:47:675 [ 'ORDEN ID', 226 ]
07:36:47:676 [ 'ORDEN ID', 227 ]
07:36:47:677 [ 'ORDEN ID', 227 ]
07:36:47:677 [ 'ORDEN ID', 227 ]
07:36:47:678 [ 'ORDEN ID', 228 ]
07:36:47:678 [ 'ORDEN ID', 228 ]
07:36:47:679 [ 'ORDEN ID', 228 ]
07:36:47:681 [ 'ORDEN ID', 226 ]
07:36:47:681 [ 'ORDEN ID', 226 ]
07:36:47:683 [ 'ORDEN ID', 226 ]
07:36:47:684 [ 'ORDEN ID', 227 ]
07:36:47:685 [ 'ORDEN ID', 227 ]
07:36:47:687 [ 'ORDEN ID', 227 ]
07:36:47:688 [ 'ORDEN ID', 228 ]
07:36:47:689 [ 'ORDEN ID', 228 ]
07:36:47:690 [ 'ORDEN ID', 228 ]
07:36:47:691 [ 'ORDEN ID', 226 ]
07:36:47:692 [ 'ORDEN ID', 226 ]
07:36:47:693 [ 'ORDEN ID', 226 ]
07:36:47:693 [ 'ORDEN ID', 227 ]
07:36:47:694 [ 'ORDEN ID', 227 ]
07:36:47:694 [ 'ORDEN ID', 227 ]
07:36:47:695 [ 'ORDEN ID', 228 ]
07:36:47:696 [ 'ORDEN ID', 228 ]
07:36:47:696 [ 'ORDEN ID', 228 ]
07:36:47:697 [ 'ORDEN ID', 226 ]
07:36:47:697 [ 'ORDEN ID', 226 ]
07:36:47:698 [ 'ORDEN ID', 226 ]
07:36:47:698 [ 'ORDEN ID', 227 ]
07:36:47:699 [ 'ORDEN ID', 227 ]
07:36:47:700 [ 'ORDEN ID', 227 ]
07:36:47:701 [ 'ORDEN ID', 228 ]
07:36:47:701 [ 'ORDEN ID', 228 ]
07:36:47:702 [ 'ORDEN ID', 228 ]
07:36:47:703 [ 'ORDEN ID', 226 ]
07:36:47:704 [ 'ORDEN ID', 226 ]
07:36:47:705 [ 'ORDEN ID', 226 ]
07:36:47:705 [ 'ORDEN ID', 227 ]
07:36:47:706 [ 'ORDEN ID', 227 ]
07:36:47:706 [ 'ORDEN ID', 227 ]
07:36:47:707 [ 'ORDEN ID', 228 ]
07:36:47:708 [ 'ORDEN ID', 228 ]
07:36:47:708 [ 'ORDEN ID', 228 ]
07:36:47:709 [ 'ORDEN ID', 226 ]
07:36:47:710 [ 'ORDEN ID', 226 ]
07:36:47:711 [ 'ORDEN ID', 226 ]
07:36:47:712 [ 'ORDEN ID', 227 ]
07:36:47:712 [ 'ORDEN ID', 227 ]
07:36:47:713 [ 'ORDEN ID', 227 ]
07:36:47:714 [ 'ORDEN ID', 228 ]
07:36:47:715 [ 'ORDEN ID', 228 ]
07:36:47:715 [ 'ORDEN ID', 228 ]
07:36:47:717 [ 'ORDEN ID', 226 ]
07:36:47:718 [ 'ORDEN ID', 226 ]
07:36:47:719 [ 'ORDEN ID', 226 ]
07:36:47:720 [ 'ORDEN ID', 227 ]
07:36:47:720 [ 'ORDEN ID', 227 ]
07:36:47:721 [ 'ORDEN ID', 227 ]
07:36:47:721 [ 'ORDEN ID', 228 ]
07:36:47:722 [ 'ORDEN ID', 228 ]
07:36:47:723 [ 'ORDEN ID', 228 ]
07:36:47:723 [ 'ORDEN ID', 226 ]
07:36:47:724 [ 'ORDEN ID', 226 ]
07:36:47:725 [ 'ORDEN ID', 226 ]
07:36:47:725 [ 'ORDEN ID', 227 ]
07:36:47:726 [ 'ORDEN ID', 227 ]
07:36:47:727 [ 'ORDEN ID', 227 ]
07:36:47:728 [ 'ORDEN ID', 228 ]
07:36:47:729 [ 'ORDEN ID', 228 ]
07:36:47:729 [ 'ORDEN ID', 228 ]
07:36:47:731 [ 'ORDEN ID', 226 ]
07:36:47:732 [ 'ORDEN ID', 226 ]
07:36:47:733 [ 'ORDEN ID', 226 ]
07:36:47:734 [ 'ORDEN ID', 227 ]
07:36:47:735 [ 'ORDEN ID', 227 ]
07:36:47:736 [ 'ORDEN ID', 227 ]
07:36:47:736 [ 'ORDEN ID', 228 ]
07:36:47:737 [ 'ORDEN ID', 228 ]
07:36:47:738 [ 'ORDEN ID', 228 ]
07:36:47:739 [ 'ORDEN ID', 226 ]
07:36:47:740 [ 'ORDEN ID', 226 ]
07:36:47:741 [ 'ORDEN ID', 226 ]
07:36:47:741 [ 'ORDEN ID', 227 ]
07:36:47:742 [ 'ORDEN ID', 227 ]
07:36:47:743 [ 'ORDEN ID', 227 ]
07:36:47:744 [ 'ORDEN ID', 228 ]
07:36:47:745 [ 'ORDEN ID', 228 ]
07:36:47:745 [ 'ORDEN ID', 228 ]
07:36:47:747 [ 'ORDEN ID', 226 ]
07:36:47:747 [ 'ORDEN ID', 226 ]
07:36:47:748 [ 'ORDEN ID', 226 ]
07:36:47:749 [ 'ORDEN ID', 227 ]
07:36:47:750 [ 'ORDEN ID', 227 ]
07:36:47:751 [ 'ORDEN ID', 227 ]
07:36:47:752 [ 'ORDEN ID', 228 ]
07:36:47:753 [ 'ORDEN ID', 228 ]
07:36:47:754 [ 'ORDEN ID', 228 ]
07:36:47:755 [ 'ORDEN ID', 226 ]
07:36:47:756 [ 'ORDEN ID', 226 ]
07:36:47:757 [ 'ORDEN ID', 226 ]
07:36:47:757 [ 'ORDEN ID', 227 ]
07:36:47:758 [ 'ORDEN ID', 227 ]
07:36:47:759 [ 'ORDEN ID', 227 ]
07:36:47:759 [ 'ORDEN ID', 228 ]
07:36:47:760 [ 'ORDEN ID', 228 ]
07:36:47:761 [ 'ORDEN ID', 228 ]
07:36:47:762 [ 'ORDEN ID', 226 ]
07:36:47:763 [ 'ORDEN ID', 226 ]
07:36:47:763 [ 'ORDEN ID', 226 ]
07:36:47:764 [ 'ORDEN ID', 227 ]
07:36:47:765 [ 'ORDEN ID', 227 ]
07:36:47:766 [ 'ORDEN ID', 227 ]
